Season,Coach,Wins
15-16,Jim Boeheim,884
16-17,Jim Boeheim,897
71-72,Tara VanDerveer,0
72-73,Tara VanDerveer,0
73-74,Tara VanDerveer,0
74-75,Tara VanDerveer,0
75-76,Tara VanDerveer,0
76-77,Tara VanDerveer,0
77-78,Tara VanDerveer,0
78-79,Tara VanDerveer,17
79-80,Tara VanDerveer,42
80-81,Tara VanDerveer,59
81-82,Tara VanDerveer,79
82-83,Tara VanDerveer,102
83-84,Tara VanDerveer,124
84-85,Tara VanDerveer,152
85-86,Tara VanDerveer,165
86-87,Tara VanDerveer,179
87-88,Tara VanDerveer,206
88-89,Tara VanDerveer,234
89-90,Tara VanDerveer,266
90-91,Tara VanDerveer,292
91-92,Tara VanDerveer,322
92-93,Tara VanDerveer,348
93-94,Tara VanDerveer,373
94-95,Tara VanDerveer,403
95-96,Tara VanDerveer,403
96-97,Tara VanDerveer,437
97-98,Tara VanDerveer,458
98-99,Tara VanDerveer,476
99-00,Tara VanDerveer,497
00-01,Tara VanDerveer,516
01-02,Tara VanDerveer,548
02-03,Tara VanDerveer,575
03-04,Tara VanDerveer,602
04-05,Tara VanDerveer,634
05-06,Tara VanDerveer,660
06-07,Tara VanDerveer,689
07-08,Tara VanDerveer,724
08-09,Tara VanDerveer,757
09-10,Tara VanDerveer,793
10-11,Tara VanDerveer,826
11-12,Tara VanDerveer,861
12-13,Tara VanDerveer,894
13-14,Tara VanDerveer,927
14-15,Tara VanDerveer,953
15-16,Tara VanDerveer,980
16-17,Tara VanDerveer,999
71-72,Geno Auriemma,0
72-73,Geno Auriemma,0
73-74,Geno Auriemma,0
74-75,Geno Auriemma,0
75-76,Geno Auriemma,0
76-77,Geno Auriemma,0
77-78,Geno Auriemma,0
78-79,Geno Auriemma,0
79-80,Geno Auriemma,0
80-81,Geno Auriemma,0
81-82,Geno Auriemma,0
82-83,Geno Auriemma,0
83-84,Geno Auriemma,0
84-85,Geno Auriemma,0
85-86,Geno Auriemma,12
86-87,Geno Auriemma,26
87-88,Geno Auriemma,43
88-89,Geno Auriemma,67
89-90,Geno Auriemma,92
90-91,Geno Auriemma,121
91-92,Geno Auriemma,144
92-93,Geno Auriemma,162
93-94,Geno Auriemma,192
94-95,Geno Auriemma,227
95-96,Geno Auriemma,261
96-97,Geno Auriemma,294
97-98,Geno Auriemma,328
98-99,Geno Auriemma,357
99-00,Geno Auriemma,393
00-01,Geno Auriemma,425
01-02,Geno Auriemma,464
02-03,Geno Auriemma,501
03-04,Geno Auriemma,532
04-05,Geno Auriemma,557
05-06,Geno Auriemma,589
06-07,Geno Auriemma,621
07-08,Geno Auriemma,657
08-09,Geno Auriemma,696
09-10,Geno Auriemma,735
10-11,Geno Auriemma,771
11-12,Geno Auriemma,804
12-13,Geno Auriemma,839
13-14,Geno Auriemma,879
14-15,Geno Auriemma,917
15-16,Geno Auriemma,955
16-17,Geno Auriemma,975
